#Release 11.4 - par L.68 (lin64)
#Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

#Tue Dec 13 16:35:39 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc6vsx475t
#SPEED GRADE:      -1
#PACKAGE:          ff1759
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AB40,,,VCCO_15,,,15,,,,,any******,,,,
AB41,,IOBS,IO_L5N_SM10N_15,UNUSED,,15,,,,,,,,,
AB42,,IOBS,IO_L7N_SM12N_15,UNUSED,,15,,,,,,,,,
AC1,,OPAD,MGTTXP1_114,UNUSED,,,,,,,,,,,
AC2,,OPAD,MGTTXN1_114,UNUSED,,,,,,,,,,,
AC3,,,GND,,,,,,,,,,,,
AC4,,,MGTAVTT_S,,,,,,,,,,,,
AC5,,IPAD,MGTRXP0_114,UNUSED,,,,,,,,,,,
AC6,,IPAD,MGTRXN0_114,UNUSED,,,,,,,,,,,
AC7,,,GND,,,,,,,,,,,,
AC8,,,MGTAVCC_S,,,,,,,,,,,,
AC9,,,GND,,,,,,,,,,,,
AC10,,,VCCAUX,,,,,,,,2.5,,,,
AC11,,,GND,,,,,,,,,,,,
AC12,,,VCCINT,,,,,,,,1.2,,,,
AC13,,,GND,,,,,,,,,,,,
AC14,,,VCCINT,,,,,,,,1.2,,,,
AC15,,,GND,,,,,,,,,,,,
AC16,,,VCCINT,,,,,,,,1.2,,,,
AC17,,,GND,,,,,,,,,,,,
AC18,,,VCCINT,,,,,,,,1.2,,,,
AC19,,,GND,,,,,,,,,,,,
AC20,,,VCCINT,,,,,,,,1.2,,,,
AC21,,,DXN_0,,,,,,,,,,,,
AC22,,,DXP_0,,,,,,,,,,,,
AC23,,,GND,,,,,,,,,,,,
AC24,,,VCCINT,,,,,,,,1.2,,,,
AC25,,,GND,,,,,,,,,,,,
AC26,,,VCCINT,,,,,,,,1.2,,,,
AC27,,,GND,,,,,,,,,,,,
AC28,,,VCCAUX,,,,,,,,2.5,,,,
AC29,,,GND,,,,,,,,,,,,
AC30,epb_addr<23>,IOB,IO_L17N_VRP_24,INPUT,LVCMOS25*,24,,,,NONE,,LOCATED,YES,NONE,
AC31,epb_addr<28>,IOB,IO_L17P_VRN_24,INPUT,LVCMOS25*,24,,,,NONE,,LOCATED,YES,NONE,
AC32,,,GND,,,,,,,,,,,,
AC33,,IOBS,IO_L18N_15,UNUSED,,15,,,,,,,,,
AC34,,IOBM,IO_L18P_15,UNUSED,,15,,,,,,,,,
AC35,,IOBM,IO_L16P_VRN_15,UNUSED,,15,,,,,,,,,
AC36,,IOBM,IO_L8P_SRCC_15,UNUSED,,15,,,,,,,,,
AC37,,,VCCO_15,,,15,,,,,any******,,,,
AC38,,IOBM,IO_L4P_15,UNUSED,,15,,,,,,,,,
AC39,,IOBS,IO_L4N_VREF_15,UNUSED,,15,,,,,,,,,
AC40,,IOBM,IO_L13P_SM14P_15,UNUSED,,15,,,,,,,,,
AC41,,IOBM,IO_L11P_SRCC_15,UNUSED,,15,,,,,,,,,
AC42,,,GND,,,,,,,,,,,,
AD1,,,GND,,,,,,,,,,,,
AD2,,,GND,,,,,,,,,,,,
AD3,,IPAD,MGTRXP3_113,UNUSED,,,,,,,,,,,
