#Release 11.4 - par L.68 (lin64)
#Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

#Tue Dec 13 16:35:39 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc6vsx475t
#SPEED GRADE:      -1
#PACKAGE:          ff1759
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AU39,,IOBS,IO_L10N_MRCC_13,UNUSED,,13,,,,,,,,,
AU40,,,GND,,,,,,,,,,,,
AU41,,IOBS,IO_L11N_SRCC_13,UNUSED,,13,,,,,,,,,
AU42,,IOBS,IO_L5N_13,UNUSED,,13,,,,,,,,,
AV1,,,GND,,,,,,,,,,,,
AV2,,,GND,,,,,,,,,,,,
AV3,,OPAD,MGTTXP0_111,UNUSED,,,,,,,,,,,
AV4,,OPAD,MGTTXN0_111,UNUSED,,,,,,,,,,,
AV5,,,GND,,,,,,,,,,,,
AV6,,,MGTAVTT_S,,,,,,,,,,,,
AV7,,IPAD,MGTRXP0_111,UNUSED,,,,,,,,,,,
AV8,,IPAD,MGTRXN0_111,UNUSED,,,,,,,,,,,
AV9,,,GND,,,,,,,,,,,,
AV10,,,GND,,,,,,,,,,,,
AV11,,,GND,,,,,,,,,,,,
AV12,,,VCCO_34,,,34,,,,,2.50,,,,
AV13,epb_addr<25>,IOB,IO_L11P_SRCC_34,INPUT,LVCMOS25*,34,,,,NONE,,LOCATED,YES,NONE,
AV14,epb_addr<13>,IOB,IO_L11N_SRCC_34,INPUT,LVCMOS25*,34,,,,NONE,,LOCATED,YES,NONE,
AV15,epb_data<3>,IOB,IO_L4P_A11_D27_34,BIDIR,LVCMOS25*,34,12,SLOW,,NONE,,LOCATED,YES,NONE,
AV16,,IOBM,IO_L8P_SRCC_34,UNUSED,,34,,,,,,,,,
AV17,,,GND,,,,,,,,,,,,
AV18,,IOBM,IO_L13P_33,UNUSED,,33,,,,,,,,,
AV19,,IOBS,IO_L13N_33,UNUSED,,33,,,,,,,,,
AV20,,IOBM,IO_L13P_32,UNUSED,,32,,,,,,,,,
AV21,,IOBM,IO_L12P_VRN_32,UNUSED,,32,,,,,,,,,
AV22,,,VCCO_32,,,32,,,,,any******,,,,
AV23,,IOBM,IO_L2P_32,UNUSED,,32,,,,,,,,,
AV24,,IOBM,IO_L12P_VRN_21,UNUSED,,21,,,,,,,,,
AV25,,IOBS,IO_L12N_VRP_21,UNUSED,,21,,,,,,,,,
AV26,,IOBM,IO_L16P_21,UNUSED,,21,,,,,,,,,
AV27,,,GND,,,,,,,,,,,,
AV28,,IOBS,IO_L17N_22,UNUSED,,22,,,,,,,,,
AV29,,IOBS,IO_L15N_22,UNUSED,,22,,,,,,,,,
AV30,,IOBS,IO_L0N_22,UNUSED,,22,,,,,,,,,
AV31,,IOBS,IO_L2N_22,UNUSED,,22,,,,,,,,,
AV32,,,VCCO_23,,,23,,,,,any******,,,,
AV33,,IOBM,IO_L19P_23,UNUSED,,23,,,,,,,,,
AV34,,IOBM,IO_L18P_12,UNUSED,,12,,,,,,,,,
AV35,,IOBS,IO_L18N_12,UNUSED,,12,,,,,,,,,
AV36,,IOBS,IO_L14N_VREF_12,UNUSED,,12,,,,,,,,,
AV37,,,GND,,,,,,,,,,,,
AV38,,IOBS,IO_L1N_12,UNUSED,,12,,,,,,,,,
AV39,,IOBM,IO_L1P_12,UNUSED,,12,,,,,,,,,
AV40,,IOBM,IO_L19P_13,UNUSED,,13,,,,,,,,,
AV41,,IOBM,IO_L11P_SRCC_13,UNUSED,,13,,,,,,,,,
AV42,,,VCCO_13,,,13,,,,,any******,,,,
AW1,,OPAD,MGTTXP3_110,UNUSED,,,,,,,,,,,
AW2,,OPAD,MGTTXN3_110,UNUSED,,,,,,,,,,,
AW3,,,GND,,,,,,,,,,,,
AW4,,,MGTAVTT_S,,,,,,,,,,,,
AW5,,IPAD,MGTRXP3_110,UNUSED,,,,,,,,,,,
AW6,,IPAD,MGTRXN3_110,UNUSED,,,,,,,,,,,
AW7,,,GND,,,,,,,,,,,,
AW8,,,MGTAVCC_S,,,,,,,,,,,,
AW9,,IPAD,MGTREFCLK1N_110,UNUSED,,,,,,,,,,,
AW10,,IPAD,MGTREFCLK1P_110,UNUSED,,,,,,,,,,,
AW11,,,GND,,,,,,,,,,,,
AW12,epb_data<9>,IOB,IO_L13P_A01_D17_34,BIDIR,LVCMOS25*,34,12,SLOW,,NONE,,LOCATED,YES,NONE,
AW13,epb_data<8>,IOB,IO_L13N_A00_D16_34,BIDIR,LVCMOS25*,34,12,SLOW,,NONE,,LOCATED,YES,NONE,
AW14,,,GND,,,,,,,,,,,,
AW15,epb_data<14>,IOB,IO_L6N_A06_D22_34,BIDIR,LVCMOS25*,34,12,SLOW,,NONE,,LOCATED,YES,NONE,
AW16,,IOBS,IO_L8N_SRCC_34,UNUSED,,34,,,,,,,,,
AW17,,IOBS,IO_L18N_A16_34,UNUSED,,34,,,,,,,,,
AW18,,IOBS,IO_L7N_33,UNUSED,,33,,,,,,,,,
AW19,,,VCCO_33,,,33,,,,,any******,,,,
AW20,,IOBS,IO_L13N_32,UNUSED,,32,,,,,,,,,
AW21,,IOBS,IO_L12N_VRP_32,UNUSED,,32,,,,,,,,,
AW22,,IOBM,IO_L16P_32,UNUSED,,32,,,,,,,,,
AW23,,IOBM,IO_L4P_32,UNUSED,,32,,,,,,,,,
AW24,,,GND,,,,,,,,,,,,
AW25,,IOBM,IO_L18P_21,UNUSED,,21,,,,,,,,,
AW26,,IOBS,IO_L18N_21,UNUSED,,21,,,,,,,,,
AW27,,IOBS,IO_L2N_21,UNUSED,,21,,,,,,,,,
AW28,,IOBM,IO_L19P_22,UNUSED,,22,,,,,,,,,
AW29,,,VCCO_22,,,22,,,,,any******,,,,
AW30,,IOBM,IO_L0P_22,UNUSED,,22,,,,,,,,,
AW31,,IOBM,IO_L2P_22,UNUSED,,22,,,,,,,,,
AW32,,IOBS,IO_L4N_VREF_22,UNUSED,,22,,,,,,,,,
AW33,,IOBS,IO_L19N_23,UNUSED,,23,,,,,,,,,
AW34,,,GND,,,,,,,,,,,,
AW35,,IOBS,IO_L19N_12,UNUSED,,12,,,,,,,,,
AW36,,IOBM,IO_L14P_12,UNUSED,,12,,,,,,,,,
AW37,,IOBM,IO_L8P_SRCC_12,UNUSED,,12,,,,,,,,,
AW38,,IOBS,IO_L8N_SRCC_12,UNUSED,,12,,,,,,,,,
AW39,,,VCCO_12,,,12,,,,,2.50,,,,
AW40,,IOBS,IO_L19N_13,UNUSED,,13,,,,,,,,,
AW41,,IOBS,IO_L7N_13,UNUSED,,13,,,,,,,,,
AW42,,IOBM,IO_L7P_13,UNUSED,,13,,,,,,,,,
AY1,,,GND,,,,,,,,,,,,
AY2,,,GND,,,,,,,,,,,,
AY3,,OPAD,MGTTXP2_110,UNUSED,,,,,,,,,,,
AY4,,OPAD,MGTTXN2_110,UNUSED,,,,,,,,,,,
AY5,,,GND,,,,,,,,,,,,
AY6,,,MGTAVTT_S,,,,,,,,,,,,
AY7,,IPAD,MGTRXP2_110,UNUSED,,,,,,,,,,,
AY8,,IPAD,MGTRXN2_110,UNUSED,,,,,,,,,,,
AY9,,,GND,,,,,,,,,,,,
AY10,,,GND,,,,,,,,,,,,
AY11,,,GND,,,,,,,,,,,,
AY12,,,GND,,,,,,,,,,,,
AY13,epb_addr<24>,IOB,IO_L0N_GC_34,INPUT,LVCMOS25*,34,,,,NONE,,LOCATED,YES,NONE,
AY14,epb_clk_in,IOB,IO_L0P_GC_34,INPUT,LVCMOS25*,34,,,,NONE,,LOCATED,NO,NONE,
AY15,epb_data<15>,IOB,IO_L6P_A07_D23_34,BIDIR,LVCMOS25*,34,12,SLOW,,NONE,,LOCATED,YES,NONE,
AY16,,,VCCO_34,,,34,,,,,2.50,,,,
AY17,,IOBM,IO_L18P_A17_34,UNUSED,,34,,,,,,,,,
AY18,,IOBM,IO_L7P_33,UNUSED,,33,,,,,,,,,
AY19,,IOBS,IO_L17N_33,UNUSED,,33,,,,,,,,,
AY20,,IOBM,IO_L8P_SRCC_32,UNUSED,,32,,,,,,,,,
AY21,,,GND,,,,,,,,,,,,
AY22,,IOBS,IO_L16N_32,UNUSED,,32,,,,,,,,,
AY23,,IOBS,IO_L4N_VREF_32,UNUSED,,32,,,,,,,,,
AY24,,IOBM,IO_L0P_32,UNUSED,,32,,,,,,,,,
AY25,,IOBS,IO_L14N_VREF_21,UNUSED,,21,,,,,,,,,
AY26,,,VCCO_21,,,21,,,,,any******,,,,
AY27,,IOBM,IO_L2P_21,UNUSED,,21,,,,,,,,,
AY28,,IOBS,IO_L19N_22,UNUSED,,22,,,,,,,,,
AY29,,IOBM,IO_L12P_VRN_22,UNUSED,,22,,,,,,,,,
AY30,,IOBS,IO_L8N_SRCC_22,UNUSED,,22,,,,,,,,,
AY31,,,GND,,,,,,,,,,,,
AY32,,IOBM,IO_L4P_22,UNUSED,,22,,,,,,,,,
AY33,,IOBS,IO_L6N_22,UNUSED,,22,,,,,,,,,
AY34,,IOBM,IO_L19P_12,UNUSED,,12,,,,,,,,,
AY35,,IOBS,IO_L17N_12,UNUSED,,12,,,,,,,,,
AY36,,,VCCO_12,,,12,,,,,2.50,,,,
AY37,,IOBS,IO_L5N_12,UNUSED,,12,,,,,,,,,
AY38,,IOBM,IO_L5P_12,UNUSED,,12,,,,,,,,,
AY39,,IOBM,IO_L3P_12,UNUSED,,12,,,,,,,,,
AY40,,IOBS,IO_L17N_13,UNUSED,,13,,,,,,,,,
AY41,,,GND,,,,,,,,,,,,
AY42,,IOBM,IO_L13P_13,UNUSED,,13,,,,,,,,,
B1,,,GND,,,,,,,,,,,,
B2,,,GND,,,,,,,,,,,,
B3,,OPAD,MGTTXP3_118,UNUSED,,,,,,,,,,,
B4,,OPAD,MGTTXN3_118,UNUSED,,,,,,,,,,,
B5,,,GND,,,,,,,,,,,,
B6,,,MGTAVTT_N,,,,,,,,,,,,
B7,,IPAD,MGTRXP2_118,UNUSED,,,,,,,,,,,
B8,,IPAD,MGTRXN2_118,UNUSED,,,,,,,,,,,
B9,,,GND,,,,,,,,,,,,
B10,,,GND,,,,,,,,,,,,
B11,,,MGTRREF_115,,,,,,,,,,,,
B12,,,GND,,,,,,,,,,,,
B13,,,GND,,,,,,,,,,,,
B14,,IOBM,IO_L13P_SM6P_35,UNUSED,,35,,,,,,,,,
B15,,,GND,,,,,,,,,,,,
B16,,IOBS,IO_L1N_35,UNUSED,,35,,,,,,,,,
B17,,IOBS,IO_L17N_36,UNUSED,,36,,,,,,,,,
B18,,IOBM,IO_L15P_36,UNUSED,,36,,,,,,,,,
B19,,IOBS,IO_L7N_36,UNUSED,,36,,,,,,,,,
B20,,,VCCO_36,,,36,,,,,any******,,,,
B21,,IOBM,IO_L15P_37,UNUSED,,37,,,,,,,,,
B22,,IOBS,IO_L5N_37,UNUSED,,37,,,,,,,,,
B23,,IOBM,IO_L5P_37,UNUSED,,37,,,,,,,,,
B24,,IOBM,IO_L1P_37,UNUSED,,37,,,,,,,,,
B25,,,GND,,,,,,,,,,,,
B26,,IOBM,IO_L15P_38,UNUSED,,38,,,,,,,,,
B27,,IOBM,IO_L7P_38,UNUSED,,38,,,,,,,,,
B28,,IOBS,IO_L3N_38,UNUSED,,38,,,,,,,,,
B29,,IOBM,IO_L15P_28,UNUSED,,28,,,,,,,,,
B30,,,VCCO_28,,,28,,,,,any******,,,,
B31,,IOBS,IO_L13N_28,UNUSED,,28,,,,,,,,,
B32,,IOBS,IO_L1N_27,UNUSED,,27,,,,,,,,,
B33,,IOBM,IO_L3P_27,UNUSED,,27,,,,,,,,,
B34,,IOBM,IO_L7P_27,UNUSED,,27,,,,,,,,,
B35,,,GND,,,,,,,,,,,,
B36,,IOBS,IO_L13N_27,UNUSED,,27,,,,,,,,,
B37,,IOBM,IO_L1P_26,UNUSED,,26,,,,,,,,,
B38,adc0_modepin,IOB,IO_L3P_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,LOCATED,NO,NONE,
B39,adc0data0_p_i<7>,IOB,IO_L5P_26,INPUT,LVDS_25,26,,,,NONE,,LOCATED,NO,DIFF_TERM,
B40,,,VCCO_26,,,26,,,,,2.50,,,,
B41,adc0_adc3wire_data,IOB,IO_L11P_SRCC_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,LOCATED,YES,NONE,
B42,,IOBS,IO_L11N_SRCC_26,UNUSED,,26,,,,,,,,,
BA1,,OPAD,MGTTXP1_110,UNUSED,,,,,,,,,,,
BA2,,OPAD,MGTTXN1_110,UNUSED,,,,,,,,,,,
BA3,,,GND,,,,,,,,,,,,
BA4,,,MGTAVTT_S,,,,,,,,,,,,
BA5,,IPAD,MGTRXP1_110,UNUSED,,,,,,,,,,,
BA6,,IPAD,MGTRXN1_110,UNUSED,,,,,,,,,,,
BA7,,,GND,,,,,,,,,,,,
BA8,,,MGTAVCC_S,,,,,,,,,,,,
BA9,,IPAD,MGTREFCLK0N_110,UNUSED,,,,,,,,,,,
BA10,,IPAD,MGTREFCLK0P_110,UNUSED,,,,,,,,,,,
BA11,,,GND,,,,,,,,,,,,
BA12,,,GND,,,,,,,,,,,,
BA13,,,VCCO_34,,,34,,,,,2.50,,,,
BA14,epb_data<6>,IOB,IO_L2N_A14_D30_34,BIDIR,LVCMOS25*,34,12,SLOW,,NONE,,LOCATED,YES,NONE,
BA15,epb_data<7>,IOB,IO_L2P_A15_D31_34,BIDIR,LVCMOS25*,34,12,SLOW,,NONE,,LOCATED,YES,NONE,
BA16,,IOBM,IO_L14P_A25_34,UNUSED,,34,,,,,,,,,
BA17,,IOBS,IO_L14N_VREF_A24_34,UNUSED,,34,,,,,,,,,
BA18,,,GND,,,,,,,,,,,,
BA19,,IOBM,IO_L17P_33,UNUSED,,33,,,,,,,,,
BA20,,IOBS,IO_L8N_SRCC_32,UNUSED,,32,,,,,,,,,
BA21,,IOBS,IO_L14N_VREF_32,UNUSED,,32,,,,,,,,,
BA22,,IOBM,IO_L14P_32,UNUSED,,32,,,,,,,,,
BA23,,,VCCO_32,,,32,,,,,any******,,,,
BA24,,IOBS,IO_L0N_32,UNUSED,,32,,,,,,,,,
BA25,,IOBM,IO_L14P_21,UNUSED,,21,,,,,,,,,
BA26,,IOBM,IO_L4P_21,UNUSED,,21,,,,,,,,,
BA27,,IOBS,IO_L4N_VREF_21,UNUSED,,21,,,,,,,,,
BA28,,,GND,,,,,,,,,,,,
BA29,,IOBS,IO_L12N_VRP_22,UNUSED,,22,,,,,,,,,
BA30,,IOBM,IO_L8P_SRCC_22,UNUSED,,22,,,,,,,,,
BA31,,IOBM,IO_L16P_22,UNUSED,,22,,,,,,,,,
BA32,,IOBM,IO_L6P_22,UNUSED,,22,,,,,,,,,
BA33,,,VCCO_22,,,22,,,,,any******,,,,
BA34,,IOBS,IO_L15N_12,UNUSED,,12,,,,,,,,,
BA35,,IOBM,IO_L17P_12,UNUSED,,12,,,,,,,,,
BA36,,IOBS,IO_L13N_12,UNUSED,,12,,,,,,,,,
BA37,,IOBM,IO_L11P_SRCC_12,UNUSED,,12,,,,,,,,,
BA38,,,GND,,,,,,,,,,,,
BA39,,IOBS,IO_L3N_12,UNUSED,,12,,,,,,,,,
BA40,,IOBM,IO_L17P_13,UNUSED,,13,,,,,,,,,
BA41,,IOBM,IO_L15P_13,UNUSED,,13,,,,,,,,,
BA42,,IOBS,IO_L13N_13,UNUSED,,13,,,,,,,,,
BB2,,,GND,,,,,,,,,,,,
BB3,,OPAD,MGTTXP0_110,UNUSED,,,,,,,,,,,
BB4,,OPAD,MGTTXN0_110,UNUSED,,,,,,,,,,,
BB5,,,GND,,,,,,,,,,,,
BB6,,,GND,,,,,,,,,,,,
BB7,,IPAD,MGTRXP0_110,UNUSED,,,,,,,,,,,
BB8,,IPAD,MGTRXN0_110,UNUSED,,,,,,,,,,,
BB9,,,GND,,,,,,,,,,,,
BB10,,,GND,,,,,,,,,,,,
BB11,,,GND,,,,,,,,,,,,
BB12,,,GND,,,,,,,,,,,,
BB13,epb_data<11>,IOB,IO_L12P_A03_D19_34,BIDIR,LVCMOS25*,34,12,SLOW,,NONE,,LOCATED,YES,NONE,
BB14,epb_data<10>,IOB,IO_L12N_A02_D18_34,BIDIR,LVCMOS25*,34,12,SLOW,,NONE,,LOCATED,YES,NONE,
BB15,,,GND,,,,,,,,,,,,
BB16,,IOBM,IO_L16P_A21_34,UNUSED,,34,,,,,,,,,
BB17,,IOBS,IO_L16N_A20_34,UNUSED,,34,,,,,,,,,
BB18,,IOBM,IO_L15P_33,UNUSED,,33,,,,,,,,,
BB19,,IOBS,IO_L15N_33,UNUSED,,33,,,,,,,,,
BB20,,,VCCO_33,,,33,,,,,any******,,,,
BB21,,IOBS,IO_L18N_32,UNUSED,,32,,,,,,,,,
BB22,,IOBM,IO_L18P_32,UNUSED,,32,,,,,,,,,
BB23,,IOBS,IO_L6N_32,UNUSED,,32,,,,,,,,,
BB24,,IOBM,IO_L6P_32,UNUSED,,32,,,,,,,,,
BB25,,,GND,,,,,,,,,,,,
BB26,,IOBM,IO_L6P_21,UNUSED,,21,,,,,,,,,
BB27,,IOBS,IO_L6N_21,UNUSED,,21,,,,,,,,,
BB28,,IOBS,IO_L18N_22,UNUSED,,22,,,,,,,,,
BB29,,IOBM,IO_L18P_22,UNUSED,,22,,,,,,,,,
BB30,,,VCCO_22,,,22,,,,,any******,,,,
BB31,,IOBS,IO_L16N_22,UNUSED,,22,,,,,,,,,
BB32,,IOBS,IO_L14N_VREF_22,UNUSED,,22,,,,,,,,,
BB33,,IOBM,IO_L14P_22,UNUSED,,22,,,,,,,,,
BB34,,IOBM,IO_L15P_12,UNUSED,,12,,,,,,,,,
BB35,,,GND,,,,,,,,,,,,
BB36,,IOBM,IO_L13P_12,UNUSED,,12,,,,,,,,,
BB37,,IOBS,IO_L11N_SRCC_12,UNUSED,,12,,,,,,,,,
BB38,,IOBS,IO_L7N_12,UNUSED,,12,,,,,,,,,
BB39,,IOBM,IO_L7P_12,UNUSED,,12,,,,,,,,,
BB40,,,VCCO_13,,,13,,,,,any******,,,,
BB41,,IOBS,IO_L15N_13,UNUSED,,13,,,,,,,,,
C1,,OPAD,MGTTXP2_118,UNUSED,,,,,,,,,,,
C2,,OPAD,MGTTXN2_118,UNUSED,,,,,,,,,,,
C3,,,GND,,,,,,,,,,,,
C4,,,MGTAVTT_N,,,,,,,,,,,,
C5,,IPAD,MGTRXP1_118,UNUSED,,,,,,,,,,,
C6,,IPAD,MGTRXN1_118,UNUSED,,,,,,,,,,,
C7,,,GND,,,,,,,,,,,,
C8,,,MGTAVCC_N,,,,,,,,,,,,
C9,,IPAD,MGTREFCLK0N_118,UNUSED,,,,,,,,,,,
C10,,IPAD,MGTREFCLK0P_118,UNUSED,,,,,,,,,,,
C11,,,GND,,,,,,,,,,,,
C12,,,GND,,,,,,,,,,,,
C13,,IOBM,IO_L15P_SM7P_35,UNUSED,,35,,,,,,,,,
C14,,IOBS,IO_L13N_SM6N_35,UNUSED,,35,,,,,,,,,
C15,,IOBM,IO_L7P_SM4P_35,UNUSED,,35,,,,,,,,,
C16,,IOBS,IO_L3N_SM1N_35,UNUSED,,35,,,,,,,,,
C17,,,VCCO_35,,,35,,,,,any******,,,,
C18,,IOBS,IO_L13N_36,UNUSED,,36,,,,,,,,,
C19,,IOBM,IO_L7P_36,UNUSED,,36,,,,,,,,,
C20,,IOBM,IO_L19P_37,UNUSED,,37,,,,,,,,,
C21,,IOBM,IO_L17P_37,UNUSED,,37,,,,,,,,,
C22,,,GND,,,,,,,,,,,,
C23,,IOBS,IO_L3N_37,UNUSED,,37,,,,,,,,,
C24,,IOBM,IO_L3P_37,UNUSED,,37,,,,,,,,,
C25,,IOBS,IO_L15N_38,UNUSED,,38,,,,,,,,,
C26,,IOBM,IO_L13P_38,UNUSED,,38,,,,,,,,,
C27,,,VCCO_38,,,38,,,,,any******,,,,
C28,,IOBM,IO_L3P_38,UNUSED,,38,,,,,,,,,
C29,,IOBS,IO_L15N_28,UNUSED,,28,,,,,,,,,
C30,,IOBM,IO_L7P_28,UNUSED,,28,,,,,,,,,
C31,,IOBM,IO_L5P_28,UNUSED,,28,,,,,,,,,
C32,,,GND,,,,,,,,,,,,
C33,,IOBS,IO_L3N_27,UNUSED,,27,,,,,,,,,
C34,,IOBS,IO_L7N_27,UNUSED,,27,,,,,,,,,
C35,,IOBM,IO_L15P_27,UNUSED,,27,,,,,,,,,
C36,,IOBS,IO_L15N_27,UNUSED,,27,,,,,,,,,
C37,,,VCCO_26,,,26,,,,,2.50,,,,
C38,,IOBS,IO_L6N_26,UNUSED,,26,,,,,,,,,
C39,adc0data0_n_i<7>,IOB,IO_L5N_26,,LVDS_25,26,,,,,,LOCATED,NO,DIFF_TERM,
C40,adc0data2_p_i<7>,IOB,IO_L13P_26,INPUT,LVDS_25,26,,,,NONE,,LOCATED,NO,DIFF_TERM,
C41,adc0data2_n_i<7>,IOB,IO_L13N_26,,LVDS_25,26,,,,,,LOCATED,NO,DIFF_TERM,
C42,,,GND,,,,,,,,,,,,
D1,,,GND,,,,,,,,,,,,
D2,,,GND,,,,,,,,,,,,
D3,,OPAD,MGTTXP1_118,UNUSED,,,,,,,,,,,
D4,,OPAD,MGTTXN1_118,UNUSED,,,,,,,,,,,
D5,,,GND,,,,,,,,,,,,
D6,,,MGTAVTT_N,,,,,,,,,,,,
D7,,IPAD,MGTRXP0_118,UNUSED,,,,,,,,,,,
D8,,IPAD,MGTRXN0_118,UNUSED,,,,,,,,,,,
D9,,,GND,,,,,,,,,,,,
D10,,,GND,,,,,,,,,,,,
D11,,,GND,,,,,,,,,,,,
D12,,IOBS,IO_L15N_SM7N_35,UNUSED,,35,,,,,,,,,
D13,,IOBM,IO_L17P_35,UNUSED,,35,,,,,,,,,
D14,,,VCCO_35,,,35,,,,,any******,,,,
D15,,IOBS,IO_L7N_SM4N_35,UNUSED,,35,,,,,,,,,
D16,,IOBM,IO_L3P_SM1P_35,UNUSED,,35,,,,,,,,,
D17,,IOBM,IO_L19P_36,UNUSED,,36,,,,,,,,,
D18,,IOBM,IO_L13P_36,UNUSED,,36,,,,,,,,,
D19,,,GND,,,,,,,,,,,,
D20,,IOBS,IO_L19N_37,UNUSED,,37,,,,,,,,,
D21,,IOBS,IO_L17N_37,UNUSED,,37,,,,,,,,,
D22,,IOBS,IO_L11N_SRCC_37,UNUSED,,37,,,,,,,,,
D23,,IOBM,IO_L11P_SRCC_37,UNUSED,,37,,,,,,,,,
D24,,,VCCO_37,,,37,,,,,any******,,,,
D25,,IOBM,IO_L17P_38,UNUSED,,38,,,,,,,,,
D26,,IOBS,IO_L13N_38,UNUSED,,38,,,,,,,,,
D27,,IOBS,IO_L1N_38,UNUSED,,38,,,,,,,,,
D28,,IOBM,IO_L1P_28,UNUSED,,28,,,,,,,,,
D29,,,GND,,,,,,,,,,,,
D30,,IOBS,IO_L7N_28,UNUSED,,28,,,,,,,,,
D31,,IOBS,IO_L5N_28,UNUSED,,28,,,,,,,,,
D32,,IOBS,IO_L0N_27,UNUSED,,27,,,,,,,,,
D33,,IOBM,IO_L11P_SRCC_27,UNUSED,,27,,,,,,,,,
D34,,,VCCO_27,,,27,,,,,any******,,,,
D35,,IOBS,IO_L4N_VREF_27,UNUSED,,27,,,,,,,,,
D36,,IOBM,IO_L19P_27,UNUSED,,27,,,,,,,,,
D37,,IOBS,IO_L19N_27,UNUSED,,27,,,,,,,,,
D38,,IOBM,IO_L6P_26,UNUSED,,26,,,,,,,,,
D39,,,GND,,,,,,,,,,,,
D40,adc0data3_p_i<5>,IOB,IO_L17P_26,INPUT,LVDS_25,26,,,,NONE,,LOCATED,NO,DIFF_TERM,
D41,adc0data1_n_i<7>,IOB,IO_L15N_26,,LVDS_25,26,,,,,,LOCATED,NO,DIFF_TERM,
D42,adc0data1_p_i<7>,IOB,IO_L15P_26,INPUT,LVDS_25,26,,,,NONE,,LOCATED,NO,DIFF_TERM,
E1,,OPAD,MGTTXP0_118,UNUSED,,,,,,,,,,,
E2,,OPAD,MGTTXN0_118,UNUSED,,,,,,,,,,,
E3,,,GND,,,,,,,,,,,,
E4,,,MGTAVTT_N,,,,,,,,,,,,
E5,,IPAD,MGTRXP3_117,UNUSED,,,,,,,,,,,
E6,,IPAD,MGTRXN3_117,UNUSED,,,,,,,,,,,
E7,,,GND,,,,,,,,,,,,
E8,,,MGTAVCC_N,,,,,,,,,,,,
E9,,IPAD,MGTREFCLK1N_117,UNUSED,,,,,,,,,,,
E10,,IPAD,MGTREFCLK1P_117,UNUSED,,,,,,,,,,,
E11,,,GND,,,,,,,,,,,,
E12,,IOBS,IO_L0N_35,UNUSED,,35,,,,,,,,,
E13,,IOBS,IO_L17N_35,UNUSED,,35,,,,,,,,,
E14,,IOBM,IO_L19P_GC_35,UNUSED,,35,,,,,,,,,
E15,,IOBM,IO_L11P_SRCC_35,UNUSED,,35,,,,,,,,,
E16,,,GND,,,,,,,,,,,,
E17,,IOBS,IO_L19N_36,UNUSED,,36,,,,,,,,,
E18,,IOBS,IO_L5N_36,UNUSED,,36,,,,,,,,,
E19,,IOBM,IO_L5P_36,UNUSED,,36,,,,,,,,,
E20,,IOBM,IO_L12P_VRN_37,UNUSED,,37,,,,,,,,,
E21,,,VCCO_37,,,37,,,,,any******,,,,
E22,,IOBS,IO_L4N_VREF_37,UNUSED,,37,,,,,,,,,
E23,,IOBS,IO_L7N_37,UNUSED,,37,,,,,,,,,
E24,,IOBM,IO_L7P_37,UNUSED,,37,,,,,,,,,
E25,,IOBS,IO_L17N_38,UNUSED,,38,,,,,,,,,
E26,,,GND,,,,,,,,,,,,
E27,,IOBM,IO_L1P_38,UNUSED,,38,,,,,,,,,
E28,,IOBS,IO_L11N_SRCC_28,UNUSED,,28,,,,,,,,,
E29,,IOBS,IO_L1N_28,UNUSED,,28,,,,,,,,,
E30,,IOBM,IO_L3P_28,UNUSED,,28,,,,,,,,,
E31,,,VCCO_27,,,27,,,,,any******,,,,
E32,,IOBM,IO_L0P_27,UNUSED,,27,,,,,,,,,
E33,,IOBS,IO_L11N_SRCC_27,UNUSED,,27,,,,,,,,,
E34,,IOBM,IO_L17P_27,UNUSED,,27,,,,,,,,,
E35,,IOBM,IO_L4P_27,UNUSED,,27,,,,,,,,,
E36,,,GND,,,,,,,,,,,,
E37,adc0data1_n_i<6>,IOB,IO_L4N_VREF_26,,LVDS_25,26,,,,,,LOCATED,NO,DIFF_TERM,
E38,,IOBS,IO_L8N_SRCC_26,UNUSED,,26,,,,,,,,,
E39,,IOBM,IO_L8P_SRCC_26,UNUSED,,26,,,,,,,,,
E40,adc0data3_n_i<5>,IOB,IO_L17N_26,,LVDS_25,26,,,,,,LOCATED,NO,DIFF_TERM,
E41,,,VCCO_26,,,26,,,,,2.50,,,,
E42,adc0data2_p_i<6>,IOB,IO_L19P_26,INPUT,LVDS_25,26,,,,NONE,,LOCATED,NO,DIFF_TERM,
F1,,,GND,,,,,,,,,,,,
F2,,,GND,,,,,,,,,,,,
F3,,OPAD,MGTTXP3_117,UNUSED,,,,,,,,,,,
F4,,OPAD,MGTTXN3_117,UNUSED,,,,,,,,,,,
F5,,,GND,,,,,,,,,,,,
F6,,,MGTAVTT_N,,,,,,,,,,,,
